Upregulated
Ensembl_g_id	Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOG00000002911	ENSRNOT00000003921	ENSRNOP00000003921	ALB	Alb	albumin [Source:RGD Symbol;Acc:2085]	3.519504053	0	4042	1115
ENSRNOG00000005108	ENSRNOT00000034730	ENSRNOP00000032218	WFS1	Wfs1	Wolfram syndrome 1 (wolframin) [Source:RGD Symbol;Acc:68954]	2.022272938	0	15545	7463
ENSRNOG00000011672	ENSRNOT00000056109	ENSRNOP00000052959	TPH1	Tph1	tryptophan hydroxylase 1 [Source:RGD Symbol;Acc:3895]	16.17126398	0	250	15
ENSRNOG00000016069	ENSRNOT00000091190	ENSRNOP00000074900	CD3E	Cd3e	CD3 molecule, epsilon [Source:RGD Symbol;Acc:1309222]	3.857575355	0	302	76
ENSRNOG00000018148	ENSRNOT00000024427	ENSRNOP00000024427	CD99L2	Cd99l2	CD99 molecule-like 2 [Source:RGD Symbol;Acc:620896]	27286.73837	0	276.92	0
ENSRNOG00000045790	ENSRNOT00000073104	ENSRNOP00000065334	FAM50A	Fam50a	family with sequence similarity 50, member A [Source:RGD Symbol;Acc:1560964]	13310.82789	0	135.08	0
ENSRNOG00000046051	ENSRNOT00000057787	ENSRNOP00000054601	SCCPDH	Sccpdh	saccharopine dehydrogenase (putative) [Source:RGD Symbol;Acc:1311440]	3.371333256	0	612.36	176.34
ENSRNOG00000047551	ENSRNOT00000025826	ENSRNOP00000025826	PNPLA2	Pnpla2	patatin-like phospholipase domain containing 2 [Source:RGD Symbol;Acc:1309044]	16619.56361	0	168.66	0
ENSRNOG00000047565	ENSRNOT00000071574	ENSRNOP00000066388	LOC100911186	LOC100911186	enoyl-CoA hydratase, mitochondrial-like [Source:RGD Symbol;Acc:6494098]	22898.08177	0	232.38	0
ENSRNOG00000051180	ENSRNOT00000071817	ENSRNOP00000065307	CHCHD2	Chchd2	coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:RGD Symbol;Acc:1309819]	3.913394247	0	365.26	90.61
ENSRNOG00000040287	ENSRNOT00000082017	ENSRNOP00000071724	CYP1B1	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:RGD Symbol;Acc:2460]	2.878545284	2.22E-16	424	143
ENSRNOG00000047294	ENSRNOT00000074210	ENSRNOP00000065391	AABR07043115.1	AABR07043115.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R7G2]	6471.65737	2.22E-16	65.67	0
ENSRNOG00000022572	ENSRNOT00000032563	ENSRNOP00000032453	PEX19	Pex19	peroxisomal biogenesis factor 19 [Source:RGD Symbol;Acc:1306913]	3.512320627	3.33E-16	278.66	77.02
ENSRNOG00000059069	ENSRNOT00000073799	ENSRNOP00000065281	AABR07061378.1	AABR07061378.1	Protein LOC100911337  [Source:UniProtKB/TrEMBL;Acc:M0R763]	2.850645675	2.22E-15	395.99	134.86
ENSRNOG00000046120	ENSRNOT00000028960	ENSRNOP00000029819	UCHL3	Uchl3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) [Source:RGD Symbol;Acc:1561196]	5846.958607	5.44E-15	59.33	0
ENSRNOG00000013953	ENSRNOT00000018961	ENSRNOP00000018961	NTRK1	Ntrk1	neurotrophic tyrosine kinase, receptor, type 1 [Source:RGD Symbol;Acc:620144]	3.268735097	3.60E-14	266	79
ENSRNOG00000032669	ENSRNOT00000012577	ENSRNOP00000012577	SERPINA1	Serpina1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 [Source:RGD Symbol;Acc:3326]	2.969541322	7.57E-14	312	102
ENSRNOG00000030016	ENSRNOT00000064141	ENSRNOP00000060623	ROBO3	Robo3	roundabout, axon guidance receptor, homolog 3 (Drosophila) [Source:RGD Symbol;Acc:1311018]	2.114277648	2.32E-13	1017	467
ENSRNOG00000047387	ENSRNOT00000017718	ENSRNOP00000017718	LNPEP	Lnpep	leucyl/cystinyl aminopeptidase [Source:RGD Symbol;Acc:621752]	124.1370411	2.62E-13	56.23	0.43
ENSRNOG00000001262	ENSRNOT00000001704	ENSRNOP00000001704	SPATC1L	Spatc1l	spermatogenesis and centriole associated 1-like [Source:RGD Symbol;Acc:1562578]	5155.257454	4.09E-13	52.31	0
ENSRNOG00000054418	ENSRNOT00000089740	-	AABR07005779.2	AABR07005779.2	-	5143.433503	4.41E-13	52.19	0
ENSRNOG00000030387	ENSRNOT00000080562	ENSRNOP00000075573	KNG1L1	Kng1l1	kininogen 1-like 1 [Source:RGD Symbol;Acc:1359376]	3.840674764	1.10E-12	182	46
ENSRNOG00000006709	ENSRNOT00000009467	ENSRNOP00000009467	PZP	Pzp	pregnancy-zone protein [Source:RGD Symbol;Acc:628643]	4.540058639	2.40E-12	145	31
ENSRNOG00000011997	ENSRNOT00000015975	ENSRNOP00000015975	AABR07008940.1	AABR07008940.1	Protein LOC64038  [Source:UniProtKB/TrEMBL;Acc:E9PTU6]	1161.301732	8.68E-12	47.66	0.03
ENSRNOG00000029184	ENSRNOT00000047310	ENSRNOP00000049409	EPHA6	Epha6	Eph receptor A6 [Source:RGD Symbol;Acc:1304614]	1.88001829	2.54E-11	1919	991
ENSRNOG00000057296	ENSRNOT00000083751	-	AC112001.1	AC112001.1	-	4426.113788	4.17E-11	44.91	0
ENSRNOG00000027592	ENSRNOT00000030850	ENSRNOP00000028930	RERG	Rerg	RAS-like, estrogen-regulated, growth-inhibitor [Source:RGD Symbol;Acc:1562829]	1.861123293	2.18E-10	1593	831
ENSRNOG00000004179	ENSRNOT00000005706	ENSRNOP00000005706	NTS	Nts	neurotensin [Source:RGD Symbol;Acc:621612]	2.033520213	2.82E-10	731	349
ENSRNOG00000060054	ENSRNOT00000090461	ENSRNOP00000074543	DOC2B	Doc2b	double C2, beta [Source:MGI Symbol;Acc:MGI:1100497]	1.98333338	2.85E-10	858	420
ENSRNOG00000051905	ENSRNOT00000083039	ENSRNOP00000071025	WNT2	Wnt2	Protein Wnt2; Wingless-related MMTV integration site 2; Wingless-type MMTV integration site family member 2  [Source:UniProtKB/TrEMBL;Acc:Q2IBD1]	2.270524614	3.03E-10	435	186
ENSRNOG00000050172	ENSRNOT00000073743	ENSRNOP00000065517	THPO	Thpo	thrombopoietin [Source:RGD Symbol;Acc:621438]	4067.453931	4.13E-10	41.27	0
ENSRNOG00000003018	ENSRNOT00000004117	ENSRNOP00000004117	OLFML2B	Olfml2b	olfactomedin-like 2B [Source:RGD Symbol;Acc:1309257]	2.04424814	1.02E-09	638	303
ENSRNOG00000034134	ENSRNOT00000044413	ENSRNOP00000040541	CPM	Cpm	carboxypeptidase M [Source:RGD Symbol;Acc:1310532]	1.835919045	1.80E-09	1388	734
