Upregulated
Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOT00000022113	ENSRNOP00000022113	TTR	Ttr	transthyretin [Source:RGD Symbol;Acc:3916]	4.22184719	0	932	237
ENSRNOT00000000792	ENSRNOP00000000792	EGR2	Egr2	early growth response 2 [Source:RGD Symbol;Acc:621608]	1.908129923	0.931275219	32	18
ENSRNOT00000025718	ENSRNOP00000025718	NOTCH2	Notch2	notch 2 [Source:RGD Symbol;Acc:3188]	1.204474275	0.982908191	1261	1124
ENSRNOT00000082073	ENSRNOP00000072865	NTSR1	Ntsr1	neurotensin receptor 1 [Source:RGD Symbol;Acc:1306076]	1.274742422	0.99067619	19	16
ENSRNOT00000000149	ENSRNOP00000000149	LY86	Ly86	lymphocyte antigen 86 [Source:RGD Symbol;Acc:1309936]	6.812953	0	311	49
ENSRNOT00000000203	ENSRNOP00000000203	CSF2RB	Csf2rb	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:RGD Symbol;Acc:620189]	11.77607366	0	735	67
ENSRNOT00000086027	ENSRNOP00000069699	C4A	C4a	complement component 4A (Rodgers blood group) [Source:RGD Symbol;Acc:620005]	16.79556017	0	24540.74	1568.7
ENSRNOT00000091096	-	RT1-BA	RT1-Ba	RT1 class II, locus Ba [Source:RGD Symbol;Acc:1595867]	10.68217696	0	3184	320
ENSRNOT00000041665	ENSRNOP00000039744	FGD2	Fgd2	FYVE, RhoGEF and PH domain containing 2 [Source:RGD Symbol;Acc:1309840]	5.394356936	0	402	80
ENSRNOT00000000814	ENSRNOP00000000814	PTPRC	Ptprc	protein tyrosine phosphatase, receptor type, C [Source:RGD Symbol;Acc:3451]	3.454390969	0	473	147
ENSRNOT00000000893	ENSRNOP00000000893	CMKLR1	Cmklr1	chemokine-like receptor 1 [Source:RGD Symbol;Acc:69359]	3.615725678	0	421	125
ENSRNOT00000080987	-	RT1-CE5	RT1-CE5	RT1 class I, locus CE5 [Source:RGD Symbol;Acc:1595868]	4.569969368	0	1637.68	384.73
ENSRNOT00000001138	ENSRNOP00000001138	AIF1	Aif1	allograft inflammatory factor 1 [Source:RGD Symbol;Acc:61924]	3.841780388	0	798	223
ENSRNOT00000001315	ENSRNOP00000001315	ARPC1B	Arpc1b	actin related protein 2/3 complex, subunit 1B [Source:RGD Symbol;Acc:2155]	3.171957623	0	715	242
ENSRNOT00000001631	ENSRNOP00000001631	TRPM2	Trpm2	transient receptor potential cation channel, subfamily M, member 2 [Source:RGD Symbol;Acc:1311889]	4.638522553	0	1914	443
ENSRNOT00000001639	ENSRNOP00000001639	ITGB2	Itgb2	integrin, beta 2 [Source:RGD Symbol;Acc:1305581]	3.509693197	0	1065.73	326
